     86340	0.206 0.200 0.204 0.195 0.195 	1148.8 1627.3 1814.2 1956.1 2117.4 	0.160 0.202 0.217 0.209 0.212 
     86804	0.256 0.248 0.248 0.248 0.000 	1230.8 1598.6 1852.9 2122.6 0.0 	0.224 0.248 0.256 0.272 0.000 
     85875	0.205 0.200 0.200 0.200 0.195 	904.0 1378.0 1680.2 1887.7 2149.6 	0.160 0.194 0.208 0.217 0.221 
     86339	0.205 0.200 0.200 0.200 0.195 	381.5 728.4 1129.1 1486.2 1909.1 	0.153 0.173 0.204 0.238 0.232 
     86803	0.337 0.344 0.319 0.000 0.000 	1461.7 1791.3 2041.9 0.0 0.0 	0.323 0.349 0.328 0.000 0.000 
     87267	0.344 0.328 0.328 0.000 0.000 	1546.1 1801.4 2081.5 0.0 0.0 	0.332 0.332 0.336 0.000 0.000 
     85874	0.255 0.248 0.253 0.244 0.000 	1347.2 1759.0 1981.9 2320.1 0.0 	0.224 0.247 0.262 0.267 0.000 
     86338	0.205 0.200 0.200 0.200 0.195 	675.5 1231.6 1539.8 1809.2 2089.1 	0.128 0.198 0.221 0.231 0.222 
     86802	0.256 0.248 0.248 0.248 0.000 	816.6 1216.5 1561.6 1972.9 0.0 	0.226 0.243 0.256 0.275 0.000 
     87266	0.339 0.333 0.328 0.000 0.000 	1334.2 1686.4 2046.7 0.0 0.0 	0.317 0.337 0.346 0.000 0.000 
     85873	0.339 0.333 0.328 0.000 0.000 	1459.1 1793.4 2119.6 0.0 0.0 	0.351 0.327 0.322 0.000 0.000 
     86337	0.256 0.248 0.248 0.248 0.000 	892.1 1269.0 1608.1 1962.1 0.0 	0.220 0.243 0.262 0.275 0.000 
     86801	0.256 0.248 0.248 0.248 0.000 	923.4 1307.7 1650.1 2046.5 0.0 	0.227 0.236 0.253 0.284 0.000 
     87265	0.260 0.244 0.248 0.248 0.000 	1310.4 1636.7 1882.9 2185.0 0.0 	0.250 0.233 0.249 0.268 0.000 
     86336	0.255 0.253 0.244 0.248 0.000 	1145.1 1517.8 1791.1 2103.5 0.0 	0.253 0.250 0.240 0.257 0.000 
     86800	0.256 0.248 0.248 0.248 0.000 	1068.1 1469.9 1749.7 2117.1 0.0 	0.225 0.241 0.252 0.282 0.000 
